Pclass,Type,Fare,Embarked,SibSp,Survived
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
ONE,child,'\'(15.65-inf)\'',S,less,TRUE
TWO,child,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,child,'\'(-inf-15.65]\'',C,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,newborn,'\'(-inf-15.65]\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
TWO,female,'\'(-inf-15.65]\'',C,less,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,child,'\'(-inf-15.65]\'',S,less,TRUE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
THREE,female,'\'(-inf-15.65]\'',S,more,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,child,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
TWO,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,child,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
THREE,female,'\'(-inf-15.65]\'',C,less,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
TWO,child,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,child,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
TWO,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,female,'\'(-inf-15.65]\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
TWO,female,'\'(15.65-inf)\'',S,less,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,FALSE
TWO,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
TWO,female,'\'(-inf-15.65]\'',C,less,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
TWO,child,'\'(15.65-inf)\'',S,less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
ONE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
THREE,newborn,'\'(-inf-15.65]\'',C,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
TWO,female,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
TWO,adult-male,'\'(15.65-inf)\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,child,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,child,'\'(-inf-15.65]\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,female,'\'(-inf-15.65]\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,child,'\'(-inf-15.65]\'',C,less,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,child,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,more,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,less,TRUE
TWO,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,child,'\'(-inf-15.65]\'',C,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
TWO,child,'\'(15.65-inf)\'',S,less,TRUE
THREE,child,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(15.65-inf)\'',S,less,TRUE
TWO,newborn,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
TWO,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,child,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,child,'\'(-inf-15.65]\'',C,less,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,child,'\'(-inf-15.65]\'',Q,more,FALSE
THREE,child,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,more,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
ONE,child,'\'(15.65-inf)\'',S,less,TRUE
THREE,newborn,'\'(-inf-15.65]\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(15.65-inf)\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,child,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,TRUE
ONE,female,'\'(15.65-inf)\'',,less,TRUE
THREE,child,'\'(-inf-15.65]\'',C,less,TRUE
TWO,newborn,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(-inf-15.65]\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
THREE,child,'\'(-inf-15.65]\'',S,more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,child,'\'(-inf-15.65]\'',C,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,TRUE
THREE,female,'\'(-inf-15.65]\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
THREE,female,'\'(-inf-15.65]\'',S,more,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
TWO,female,'\'(-inf-15.65]\'',C,less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,child,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,TRUE
ONE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
TWO,female,'\'(-inf-15.65]\'',C,less,TRUE
THREE,child,'\'(-inf-15.65]\'',C,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,FALSE
